,importance
stress_amplitude,0.15376662546737865
frequency_Hz,0.05264569389706394
delta_H_mix,0.012589103177009156
VEC,0.011407538692350117
delta_S_mix,0.010952791834767495
uts_MPa,0.0049011605761681105
elongation_pct,0.004753465015585749
yield_strength_MPa,0.0025574652332423322
is_MPEA,0.0007345910776334064
is_air,3.8867252784384005e-06
load_ratio,0.0
test_temperature_C,0.0
youngs_modulus_GPa,-0.00012826193419002152
n_elements,-0.001908382111735644
